ID,pop,pop2,DBH,sNMF_V1,sNMF_V2,sNMF_V3,sNMF_V4,sNMF_V5,Grafted?,2spec_struc_oc_prop,2spec_struc_swo_prop,2spec_snmf_oc_prop,2spec_snmf_swo_prop
sample_71,EDGE-TN9,EDGE,10.6,1.00E-04,0.122003,1.00E-04,0.877697,1.00E-04,grafted,0.079,0.921,0.139835,0.860165
sample_72,EDGE-TN9,EDGE,14.8,0.0125372,0.383415,0.00521588,0.586425,0.0124065,,0.247,0.753,0.401211,0.598789
sample_73,EDGE-TN10,EDGE,26,0.00586674,0.419855,0.0203998,0.53685,0.0170282,,0.281,0.719,0.448669,0.551331
sample_75,EDGE-TN11,EDGE,28,1.00E-04,0.023691,0.00201738,0.966349,0.00784221,grafted,0.036,0.964,0.0520544,0.947946
sample_76,EDGE-TN12,EDGE,20.1,1.00E-04,0.254768,1.00E-04,0.744932,1.00E-04,,0.112,0.888,0.231385,0.768615
sample_77,CORE-IL1,CORE,33.9,0.00538135,1.00E-04,0.00126588,0.993153,1.00E-04,,0.005,0.995,0.0001,0.9999
sample_78,CORE-IL1,CORE,31.8,0.0165092,0.0096044,1.00E-04,0.973194,0.000592631,,0.001,0.999,0.0001,0.9999
sample_79,CORE-IL1,CORE,36.6,1.00E-04,0.027541,1.00E-04,0.956659,0.0156002,,0.012,0.988,0.022878,0.977122
sample_80,CORE-IL1,CORE,19.5,0.000905773,0.0069387,0.00167071,0.990385,1.00E-04,,0.005,0.995,0.0001,0.9999
sample_81,CORE-IL1,CORE,18.2,0.0295408,0.00711961,0.00282638,0.95573,0.00478345,,0.003,0.997,0.004388,0.995612
sample_82,CORE-IL1,CORE,17.6,1.00E-04,1.00E-04,1.00E-04,0.9996,1.00E-04,,0.001,0.999,0.0001,0.9999
sample_83,CORE-IL1,CORE,28,0.0163166,1.00E-04,0.00066049,0.981872,0.00105096,,0.001,0.999,0.0001,0.9999
sample_84,CORE-IL1,CORE,15.6,0.00697421,1.00E-04,0.00839182,0.984434,1.00E-04,,0.003,0.997,0.0001,0.9999
sample_85,CORE-IN1,CORE,27.2,0.00698147,0.0198483,1.00E-04,0.97297,1.00E-04,,0.008,0.992,0.0241772,0.975823
sample_86,CORE-IN1,CORE,24.7,0.00266436,1.00E-04,1.00E-04,0.9919,0.005236,,0.004,0.996,0.0001,0.9999
sample_87,CORE-IN1,CORE,8.4,0.00852571,1.00E-04,0.00425067,0.987024,1.00E-04,,0.001,0.999,0.0001,0.9999
sample_88,CORE-IN1,CORE,19.6,1.00E-04,1.00E-04,0.0105554,0.988776,0.000468223,,0.003,0.997,0.0009215,0.999078
sample_89,CORE-IN1,CORE,15.2,0.000915621,0.0154916,0.00318214,0.980311,1.00E-04,,0.007,0.993,0.0010155,0.998985
sample_90,CORE-IN1,CORE,18,1.00E-04,1.00E-04,1.00E-04,0.9996,1.00E-04,,0.002,0.998,0.0001,0.9999
sample_91,CORE-IN1,CORE,28,1.00E-04,0.00984763,0.00387931,0.977256,0.00891681,,0.008,0.992,0.0127346,0.987265
sample_92,CORE-IN1,CORE,15.7,0.00962224,0.00441765,1.00E-04,0.976214,0.00964612,,0.004,0.996,0.0001,0.9999
sample_93,CORE-IN2,CORE,16,0.0034926,1.00E-04,1.00E-04,0.996207,1.00E-04,,0.001,0.999,0.0001,0.9999
sample_94,CORE-IN2,CORE,25.8,0.019004,1.00E-04,1.00E-04,0.980321,0.000475223,,0.001,0.999,0.0001,0.9999
sample_95,CORE-IN2,CORE,14,0.00815677,1.00E-04,0.00341083,0.975924,0.0124081,,0.001,0.999,0.0001,0.9999
sample_96,CORE-IN2,CORE,18.7,0.0108103,0.00077453,0.00427645,0.984039,1.00E-04,,0.006,0.994,0.0131928,0.986807
